Time(s),RSS(KB),VSZ(KB)
.011827932,3496,66472
.063394501,44936,283316
.079337981,55100,283316
.095908814,65132,283316
.112665885,72392,283712
.128855621,73604,285284
.145006436,73604,285284
.161156915,73604,285284
.177332171,75656,285284
.193524654,76184,285284
.210223893,76712,285284
.227014415,77240,285284
.243607451,77768,285284
.259414850,78296,285284
.274567052,78824,285284
.290409354,79352,285284
.306406977,79616,285284
.322805365,79616,285284
.338168552,79616,285284
.353759411,79616,285284
.369026208,79616,285284
.384983580,79616,285284
.406837822,79616,285284
.410651709,79616,285284
.414681788,79616,285284
.418581773,79616,285284
.422194690,79616,285284
.426642498,79616,285284
.430903117,79616,285284
.434881895,79616,285284
.438451881,79616,285284
.442690676,79616,285284
.447133853,79616,285284
.450977307,79616,285284
.454548175,79616,285284
.458725316,79616,285284
.462979962,79616,285284
.466810606,79616,285284
.470557032,79616,285284
.474347564,79616,285284
.477952721,79616,285284
.481586622,79616,285284
.489990314,79616,285284
.494028087,79616,285284
.498103720,79616,285284
.501715754,79616,285284
.505904424,79616,285284
.509833895,79616,285284
.513814230,79616,285284
.522171548,79616,285284
.526245864,79616,285284
.529825250,79616,285284
.537977809,79616,285284
.542195232,79616,285284
.546210962,79616,285284
.549856545,79616,285284
.553617792,79616,285284
.557655268,79616,285284
.561591237,79616,285284
.570123476,79616,285284
.574164524,79616,285284
.578006972,79616,285284
.586216699,79616,285284
.590185482,79616,285284
.593883279,79616,285284
.602201070,79616,285284
.606606965,79616,285284
.615212004,79616,285284
.619292355,79616,285284
.623149375,79616,285284
.627213637,79616,285284
.631060701,79616,285284
.635310560,79616,285284
.639256006,79616,285284
.643467627,79616,285284
.648256173,79616,285284
.652247503,79616,285284
.656227921,79616,285284
.660034634,79616,285284
.664008794,79616,285284
.667884291,79616,285284
.671818683,79616,285284
.675868803,79616,285284
.689205014,79616,285284
.706402622,79616,285284
.723751415,79616,285284
.741970048,79616,285284
.759910060,79616,285284
.777467224,79616,285284
.795041272,79616,285284
.812174077,79616,285284
.829736939,79616,285284
.847328401,79616,285284
.863404666,79616,285284
.879871241,79616,285284
